pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,open_tyndp_type,pypsa_eur_carrier,comment
Other Non-RES Gas,ccgt old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand
Other Non-RES Gas,ccgt new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand
Other Non-RES Gas,ccgt ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt-ccs,,Methane demand
Other Non-RES Gas,ocgt old,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ocgt-old,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ocgt,OCGT,Methane demand
Other Non-RES Gas,ocgt new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ocgt-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ocgt,OCGT,Methane demand
Other Non-RES Gas,ccgt present 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-present1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand
Other Non-RES Gas,ccgt present 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-present2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand
Other Non-RES Hard coal,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-coal,coal,
Other Non-RES Hard coal,ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,coal,other-non-res-coal-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-coal-ccs,,
Other Non-RES Lignite,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-lignite,lignite,
Other Non-RES Lignite,ccs,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,lignite,other-non-res-lignite-ccs,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-lignite-ccs,,
Other Non-RES Light oil,light oil,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-light,other-non-res-oil-light,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-oil-light,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Heavy oil,old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-heavy,other-non-res-oil-heavy-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Heavy oil,old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-heavy,other-non-res-oil-heavy-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Oil shale,old,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-shale,other-non-res-oil-shale-old,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Oil shale,new,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,oil-shale,other-non-res-oil-shale-new,Other Non-Renewables,other non-res,other non-res,other non-res,,,,,,,,,other-non-res-oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Hydrogen,Fuel Cell,,,,Hydrogen Fuel Cell,Hydrogen,Hydrogen FC,h2-fuel-cell,h2-fuel-cell,H2 Fuel Cell,hydrogen,hydrogen,methane&hydrogen,,,,power generation,,,,,h2-fuel-cell,,Hydrogen demand
Hydrogen,CCGT,,,,Hydrogen CCGT,Hydrogen,Hydrogen CCGT,h2-ccgt,h2-ccgt,H2 CCGT,hydrogen,hydrogen,methane&hydrogen,,,,power generation,,,,,h2-ccgt,,Hydrogen demand
Electrolyser,Onshore grid connected,,,Electrolyzers,Electrolyser (gen.),P2G,,H2 Electrolysis,H2 Electrolysis,H2 Electrolysis,,,,,,,,,p2g,,,electrolyser-onshore-grid,,Hydrogen supply
Battery,Discharge,,,,Battery Storage discharge (gen.),Battery,Large scale batteries,battery,battery discharger,Battery Storage,battery,battery,battery,,,,,,,,,battery discharger,,
Battery,Charge,,,,Battery Storage charge (load),,,battery,battery charger,Battery Storage,battery charge (load),battery charge (load),,,,,,,,,,battery charger,,
Battery,Store,,,,,,,battery,battery,,,,,,,,,,,,,battery,,
,,,,Batteries Prosumer,,,,battery,battery-prosumer,,,,,,,,,,,,,battery-prosumer,,
,,,,Batteries Utility,,,,battery,battery-utility,,,,,,,,,,,,,battery-utility,,
,,,,,Lignite biofuel,Biofuels,Lignite biofuel,,,,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),,,,,,,,,,,,
,,,,,Hard Coal biofuel,Biofuels,Hard coal biofuel,,,,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),,,,,,,,,,,,
,,,,,Gas biofuel,,,,,,methane (incl. biofuels),methane (incl. biofuels),,,,,,,,,,,,
,,,,,Light oil biofuel,,,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,
,,,,,Heavy oil biofuel,,,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,
,,,,,Oil shale biofuel,,Oil shale biofuel,,,,oil (incl. biofuels),oil (incl. biofuels),,,,,,,,,,,,
,,,,,Demand Side Response Explicit,Demand shedding,Demand Side Response Explicit,dsr,,DSR,dsr,dsr,,,,,,,dsr,,,,,'Demand Side Response Implicit' is not included in the benchmarking for DSR.
,,,,,,,DSR,dsr,,DSR,dsr,dsr,,,,,,,,,,,,
,,,,,Unserved energy [GWh],,,load,,Demand Shedding,demand shedding,demand shedding,,,,,,,,,,,,
,,,,,Dump energy [GWh],,,,,,dumped energy,dumped energy,,,,,,,,,,,,Curtailment/dump energy
,,,,,Native Demand (excl. H2 storage charge) [GWhH2],,,,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,Marginal Cost Yearly Average [€],,,,,,AC,AC,,,,,,,,,,,,Prices
,,,,,Marginal Cost Yearly Average (excl. 3 000 €/MWh) [€],,,,,,AC,AC,,,,,,,,,,,,Prices
,,,,,Marginal Cost Yearly Average [€/MWhH2],,,,,,H2,H2,,,,,,,,,,,,Prices
,,,,,Marginal Cost Yearly Average (excl. 3 000 €/MWhH2) [€/MWhH2],,,,,,H2,H2,,,,,,,,,,,,Prices
,,,,,,Electricity,,AC,,,,,,electricity,,,,,,,,,,Final energy demand
,,,,,,Electricity,,AC_OH,,,,,,electricity,,,,,,,,,,Final energy demand
,,,,,,Electricity,,low voltage,,,,,,electricity,,,,,,,,,,Final energy demand
,,,,,,Hydrogen,,H2,,,,,,hydrogen,,,,,,,,,,Final energy demand
,,,,,,Methane,,exogenous gas demand,,,,,,methane,,,,,,,,,,Final energy demand
,,,,,,Biofuels,,solid biomass,,Solid Biomass,,,,biofuels,,,,,,,,,,Final energy demand
,,,,,,Solids,,coal,,Coal,,,,solids,,,,,,,,,,Final energy demand
,,,,,,Liquids,,oil,,,,,,liquids,,,,,,,,,,Final energy demand
,,,,,,Liquids,,kerosene for aviation,,,,,,liquids,,,,,,,,,,Final energy demand
,,,,,,Liquids,,shipping oil,,,,,,liquids,,,,,,,,,,Final energy demand
,,,,,,Liquids,,land transport oil,,,,,,liquids,,,,,,,,,,Final energy demand
,,,,,,"Final demand (inc. T&D losses, excl. pump storage )",,electricity,,,,,,,"final demand (inc. t&d losses, excl. pump storage )",,,,,,,,,Electricity demand
,,,,,,H2 Residential&Tertiary,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 Transport,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 Industry,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 Agriculture,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 Power Generation,,,,,,,,,,,power generation,,,,,,,Hydrogen demand
,,,,,,H2 Non-energy use,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 Others,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,H2 e-fuels,,Fischer-Tropsch,,,,,,,,,e-fuels,,,,,,,Hydrogen demand
,,,,,,H2 e-fuels,,Sabatier,,,,,,,,,e-fuels,,,,,,,Hydrogen demand
,,,,,,H2 e-fuels,,methanolisation,,,,,,,,,e-fuels,,,,,,,Hydrogen demand
,,,,,,H2 International maritime bunkers,,H2 exogenous demand,,,,,,,,,exogenous demand,,,,,,,Hydrogen demand
,,,,,,CH4 Residential&Tertiary,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 Transport,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 Industry,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 Agriculture,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 Power Generation,,,,,,,,,,power generation,,,,,,,,Methane demand
,,,,,,CH4 Non-energy use,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 Others,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 International maritime bunkers,,exogenous gas demand,,,,,,,,exogenous demand,,,,,,,,Methane demand
,,,,,,CH4 SMR,,,,,,,,,,smr (grey) and smr with ccs (blue),,,,,,,,Methane demand
,,,,,Steam methane reformer,SMR (Grey),,SMR,,SMR (Grey Hydrogen),,,,,,smr (grey) and smr with ccs (blue),,,smr (grey) and smr with ccs (blue),,,,,"Hydrogen supply, Methane demand, TYNDP market model doesn't distinguish between grey and blue SMR in the output files"
